epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,483.611,0.3509,0.26494,1.03175,0.92094,1,0.98692,0.77728,0.71597,0.6576,1.35732,0.000654624,0.000654624,0.000654624
170,486.496,0.3439,0.2672,1.0425,0.85531,0.98558,0.9777,0.71806,0.70285,0.75854,1.4135,0.00065427,0.00065427,0.00065427
171,489.363,0.32377,0.23433,1.05238,0.84388,0.95833,0.94849,0.64926,0.74739,0.87068,1.47961,0.000653917,0.000653917,0.000653917
172,492.209,0.30468,0.22369,1.03291,0.90352,0.95833,0.97467,0.67404,0.73922,0.84076,1.45976,0.000653563,0.000653563,0.000653563
173,495.081,0.31868,0.23781,1.02473,0.96531,0.91667,0.98885,0.74007,0.70221,0.67474,1.35417,0.00065321,0.00065321,0.00065321
174,497.942,0.29679,0.24691,1.03386,0.99905,1,0.995,0.8909,0.5461,0.39133,1.14896,0.000652857,0.000652857,0.000652857
175,500.786,0.29246,0.24711,1.06049,0.99293,1,0.995,0.88556,0.5969,0.37723,1.20841,0.000652503,0.000652503,0.000652503
176,503.634,0.34177,0.22877,1.05302,0.99824,1,0.995,0.89027,0.56085,0.33376,1.20292,0.00065215,0.00065215,0.00065215
177,506.477,0.30809,0.23642,1.02199,0.99654,1,0.995,0.90446,0.53151,0.31988,1.18545,0.000651796,0.000651796,0.000651796
178,509.342,0.33457,0.26296,1.03865,0.99743,1,0.995,0.92227,0.47985,0.28829,1.06844,0.000651443,0.000651443,0.000651443
179,512.251,0.3104,0.2384,1.04335,0.95709,1,0.9934,0.89371,0.5167,0.31809,1.0485,0.000651089,0.000651089,0.000651089
